"HID"	"X"	"Y"
45559	3.097409	8.118751
45560	3.485254	8.89843
45561	3.874237	9.677127
45562	4.264539	10.454867
45563	4.656345	11.231675
45564	5.049849	12.007582
45565	5.445252	12.782627
45639	2.72119	6.813174
45640	3.108079	7.593984
45641	3.495842	8.373751
45642	3.884652	9.15249
45643	4.274686	9.930221
45644	4.666122	10.706961
45645	5.059143	11.482731
45646	5.453938	12.257556
45647	5.850703	13.031465
45648	6.249642	13.804495
45720	2.731683	6.288629
45721	3.11863	7.069633
45722	3.506369	7.849559
45723	3.895072	8.628421
45724	4.284912	9.406234
45725	4.676064	10.183012
45726	5.068705	10.958769
45727	5.463016	11.733523
45728	5.85918	12.507289
45729	6.25739	13.280089
45801	3.129006	6.545613
45802	3.516772	7.325759
45803	3.905423	8.104812
45804	4.295131	8.882783
45805	4.686068	9.659685
45806	5.078407	10.435529
45807	5.472325	11.210327
45808	5.868002	11.98409
45809	6.265619	12.756829
45810	6.665364	13.528558
45883	3.527001	6.802269
45884	3.915646	7.58157
45885	4.305273	8.359764
45886	4.69605	9.136861
45887	5.088151	9.912872
45888	5.481749	10.687806
45889	5.87702	11.461673
45890	6.274144	12.234479
45891	6.6733	13.006233
45892	7.074674	13.776942
45964	3.537013	6.279015
45965	3.925694	7.058615
45966	4.315282	7.837086
45967	4.705947	8.614438
45968	5.097861	9.390682
45969	5.491195	10.165826
45970	5.886125	10.93988
45971	6.282827	11.71285
45972	6.681481	12.484743
45973	7.082267	13.255565
46045	3.935527	6.535875
46046	4.325115	7.31467
46047	4.715708	8.092328
46048	5.107477	8.868859
46049	5.500594	9.644274
46050	5.895233	10.418582
46051	6.291571	11.191792
46052	6.689784	11.96391
46053	7.090054	12.734945
46054	7.492565	13.504902
46127	4.334735	6.792447
46128	4.725291	7.570454
46129	5.116953	8.34732
46130	5.509892	9.123055
46131	5.904282	9.897672
46132	6.300298	10.67118
46133	6.698119	11.443589
46134	7.097926	12.21491
46135	7.499902	12.985153
46136	7.904236	13.754331
46208	4.344113	6.270356
46209	4.734664	7.04875
46210	5.126251	7.82599
46211	5.519045	8.602088
46212	5.913221	9.377058
46213	6.308954	10.150912
46214	6.706421	10.923663
46215	7.105804	11.695326
46216	7.507288	12.465915
46217	7.911062	13.23545
46289	4.743799	6.527158
46290	5.13534	7.304806
46291	5.528021	8.081303
46292	5.922013	8.856663
46293	6.317493	9.630902
46294	6.714639	10.404036
46295	7.113632	11.176083
46296	7.514658	11.947063
46297	7.917905	12.717001
46370	4.752675	6.005624
46371	5.144198	6.783711
46372	5.536791	7.560638
46373	5.930627	8.336421
46374	6.325883	9.111078
46375	6.722736	9.884627
46376	7.121367	10.657092
46377	7.521962	11.428495
46378	7.924709	12.19887
46452	5.152803	6.262656
46453	5.545334	7.04004
46454	5.939041	7.816273
46455	6.334097	8.591375
46456	6.730682	9.365368
46457	7.128976	10.138277
46458	7.529164	10.910131
46459	7.931435	11.680965
46532	5.161139	5.741595
46533	5.553633	6.519461
46534	5.947233	7.296169
46535	6.342115	8.07174
46536	6.738455	8.8462
46537	7.136435	9.619576
46538	7.536239	10.3919
46539	7.938055	11.163213
46540	8.342077	11.933565
46613	5.169194	5.220488
46614	5.561674	5.998858
46615	5.955191	6.776063
46616	6.349919	7.552125
46617	6.746037	8.327072
46618	7.143725	9.100934
46619	7.543165	9.873746
46620	7.944546	10.645552
46621	8.348061	11.416405
46622	8.753907	12.186376
46623	9.162291	12.955559
46695	5.569445	5.478193
46696	5.9629	6.255914
46697	6.357498	7.032486
46698	6.753415	7.807939
46699	7.150831	8.582303
46700	7.549929	9.355618
46701	7.950894	10.127929
46702	8.353919	10.899293
46703	8.7592	11.669782
46704	9.166939	12.439493
46775	5.576935	4.957431
46776	5.970351	5.735687
46777	6.364839	6.512787
46778	6.760577	7.288761
46779	7.157742	8.063643
46780	7.556517	8.837474
46781	7.957087	9.610301
46782	8.359641	10.382182
46783	8.764374	11.153193
46784	9.171485	11.923429
46785	9.581181	12.693023
46856	5.584138	4.436539
46857	5.977536	5.215348
46858	6.371936	5.992992
46859	6.767514	6.769503
46860	7.164449	7.544917
46861	7.562921	8.319276
46862	7.963115	9.092628
46863	8.365217	9.865034
46864	8.769421	10.636568
46865	9.175922	11.407329
46866	9.584924	12.177443
46867	9.99663	12.947086
46938	5.984448	4.694867
46939	6.378781	5.473071
46940	6.774221	6.250133
46941	7.170945	7.026092
46942	7.569134	7.800989
46943	7.968971	8.574876
46944	8.370641	9.347813
46945	8.774334	10.119875
46946	9.180245	10.891158
46947	9.588571	11.661787
46948	9.999513	12.431931
47018	5.991082	4.174214
47019	6.385368	4.952993
47020	6.78069	5.730622
47021	7.177224	6.507138
47022	7.575151	7.282585
47023	7.97465	8.057015
47024	8.375908	8.830489
47025	8.77911	9.603082
47026	9.18445	10.374889
47027	9.592121	11.14603
47028	10.002319	11.916667
47029	10.415243	12.687019
47100	6.391693	4.432734
47101	6.786918	5.210941
47102	7.183283	5.988027
47103	7.580967	6.764035
47104	7.980149	7.539017
47105	8.381014	8.313036
47106	8.783746	9.086164
47107	9.188534	9.858495
47108	9.59557	10.630147
47109	10.005047	11.401273
47110	10.417157	12.172078
47111	10.832086	12.942847
47182	6.792901	4.691067
47183	7.189117	5.468735
47184	7.586579	6.245314
47185	7.985465	7.020858
47186	8.385957	7.795427
47187	8.788238	8.569096
47188	9.192496	9.341955
47189	9.598919	10.114118
47190	10.007696	10.885731
47191	10.419017	11.656987
47192	10.833063	12.428148
47262	6.798636	4.170976
47263	7.194724	4.949237
47264	7.591984	5.726399
47265	7.990594	6.502514
47266	8.390734	7.277642
47267	8.792586	8.051857
47268	9.196335	8.825248
47269	9.602166	9.597923
47270	10.010266	10.370023
47271	10.420821	11.14173
47272	10.834011	11.913284
47273	11.25	12.685016
47344	7.200102	4.429513
47345	7.597181	5.207268
47346	7.995536	5.983963
47347	8.395345	6.759659
